feature,pearson_with_label1,mean,std
last_token_is_incomplete_group,-0.6082645602440866,0.20430107526881722,0.4031899625645736
last_token_is_function_word,-0.5842373946721766,0.1935483870967742,0.3950789907714803
ends_with_prep,-0.3426301002589794,0.06989247311827956,0.25496571400815865
ends_with_det,-0.28198180982441223,0.06682027649769585,0.24971048665698312
ends_with_aux,-0.23629862666899745,0.03456221198156682,0.1826681841057935
ends_with_conj,-0.20249814523022472,0.02227342549923195,0.14757140649787853
ends_with_wh,-0.16757423204338384,0.015360983102918587,0.12298383349461196
has_filler,-0.09411492581224817,0.1543778801843318,0.36131060086042854
ends_with_ellipsis,0.0,0.0,0.0
ends_with_question,0.0,0.0,0.0
ends_with_exclaim,0.0,0.0,0.0
ends_with_period,0.0,0.0,0.0
no_terminal_punct,0.0,1.0,0.0
terminal_punct_present,0.0,0.0,0.0
ends_with_dash,0.0,0.0,0.0
ends_with_comma,0.0,0.0,0.0
short_utterance,0.004436782547080692,0.02457757296466974,0.15483383309805407
medium_utterance,0.016589086726447964,0.1827956989247312,0.38649894098089094
log1p_word_count,0.04220465809611673,2.4137953838445076,0.3346993947925702
word_count,0.0722103609544795,10.748847926267281,3.4898220756552507
char_count,0.08024680360783838,58.21121351766513,19.000341905781365
starts_with_request,0.11052973976948123,0.08141321044546851,0.27346864465680587
question_count,0.1292355539729265,0.029185867895545316,0.16832722005287526
long_utterance,0.13257637383472456,0.10368663594470046,0.30485360006267204
comma_count,0.15195260411673425,0.27572964669738864,0.5402487457153726
last_token_len,0.282932528763145,5.118279569892473,2.413445591009958
